GeneSymbol	studyB_case01	studyB_case02	studyB_case03	studyB_case04	studyB_case05	studyB_case06	studyB_ctrl01	studyB_ctrl02	studyB_ctrl03	studyB_ctrl04	studyB_ctrl05	studyB_ctrl06	studyB_ctrl07
SYNTH0472	7.8580	8.1649	6.9307	6.7279	7.2384	7.8642	8.2240	7.2668	7.2384	7.2574	8.5196	7.9887	8.0607
SYNTH0473	7.6653	7.3837	8.0112	7.5236	6.6147	7.8826	9.1085	9.0768	7.8074	8.6546	9.3554	8.0334	8.4051
SYNTH0474	7.8009	6.1898	7.2479	6.2668	7.0444	6.2854	5.5546	5.9542	6.9773	5.9773	7.0661	6.1293	7.6511
SYNTH0475	8.7381	8.5507	9.3685	9.0715	8.0607	9.3554	7.7415	8.3531	9.1997	8.2288	9.0688	8.9542	8.9454
SYNTH0476	2.8074	3.3219	4.1699	4.5236	3.5850	2.3219	3.0000	4.7004	3.5850	3.1699	4.5236	4.0875	3.3219
SYNTH0477	7.5850	6.1085	8.2192	7.8455	7.4429	7.2479	7.0334	8.0715	7.2574	8.2192	6.6582	8.2668	7.5078
SYNTH0478	7.9189	9.0741	8.9944	9.4157	9.1497	8.5546	9.4838	9.2336	9.5098	8.5925	9.0417	9.2854	8.2046
SYNTH0479	5.4919	5.6439	4.7549	4.8580	4.3219	4.7549	4.7004	4.9542	4.8580	4.9542	3.3219	4.7004	5.5850
SYNTH0480	5.8826	6.0444	5.4263	5.1699	5.5236	5.7279	4.6439	5.2479	5.7549	5.9069	6.2095	4.0000	4.8074
SYNTH0481	4.5236	4.1699	5.6147	5.2479	NA	4.5236	4.7004	4.3923	4.0000	6.1898	5.3923	4.2479	6.4263
SYNTH0482	6.2854	5.2854	5.5850	5.3576	5.3923	4.9542	5.5236	4.0875	4.9542	4.5236	5.9542	6.4263	5.7814
SYNTH0483	9.0084	10.1724	9.6653	9.6475	9.0362	9.3554	9.2621	8.8486	9.1649	10.1948	9.8734	8.6073	9.7039
SYNTH0484	4.4594	4.5850	4.0000	4.8074	5.2479	4.3219	4.8074	4.4594	4.8580	5.5850	4.6439	5.1699	3.4594
SYNTH0485	8.7142	8.8796	8.5275	8.4051	9.2360	7.7074	7.3750	9.0362	8.3576	8.7748	9.7381	9.6564	8.9858
SYNTH0486	4.5236	6.7814	6.7004	7.1396	7.0224	7.2095	5.8580	5.6724	6.2479	4.8580	5.7279	6.0224	5.5546
SYNTH0487	4.7004	4.4594	1.0000	4.1699	0.0000	4.8580	3.5850	4.9069	3.5850	4.3923	3.4594	3.4594	3.5850
SYNTH0488	6.7142	6.9425	5.5546	6.9773	5.5546	6.6582	6.2668	6.7004	7.1799	6.4263	5.3923	6.6865	6.9658
SYNTH0489	6.2479	6.7814	NA	5.6439	5.1293	4.9069	5.5850	4.8074	5.5850	5.0444	5.5850	5.9069	4.3923
SYNTH0490	3.1699	4.4594	4.2479	4.0875	4.2479	NA	3.4594	4.2479	4.7549	4.0000	3.4594	4.5850	5.1699
SYNTH0491	4.4594	4.4594	5.1293	3.3219	5.0875	4.5850	3.3219	3.7004	4.3923	4.3219	3.4594	4.3219	4.4594
SYNTH0492	4.8580	4.5236	5.0444	4.2479	4.8580	4.9069	4.3219	4.5236	4.4594	3.8074	4.7549	4.3923	3.7004
SYNTH0493	7.0224	8.4512	7.5157	8.2479	8.2288	7.0875	7.6439	8.8918	8.5622	7.6073	7.2946	7.3399	7.4676
SYNTH0494	6.7682	5.4594	6.0000	6.2479	6.5850	6.0875	5.5850	6.0224	6.3923	6.7279	7.2095	6.1898	5.4263
SYNTH0495	7.5699	7.4346	7.8826	7.2288	7.4512	6.2668	6.5078	7.9484	6.9069	7.3837	7.9248	7.0112	7.5236
SYNTH0496	9.0526	9.6330	9.2621	8.6546	9.0417	9.3129	9.1421	8.8041	8.7211	9.7482	9.7108	8.6294	10.1762
SYNTH0497	6.8704	8.0661	8.2992	7.7004	6.8074	7.3309	6.2095	NA	7.3219	5.1699	6.7004	7.4676	6.5850
SYNTH0498	9.1472	8.0768	9.7074	9.4284	8.5314	8.2336	9.6018	8.8392	8.3707	8.7879	8.9744	9.3641	8.4838
SYNTH0499	8.7944	8.9972	8.8796	8.9801	NA	7.8948	7.5236	8.6184	10.2969	9.3815	9.5527	9.6312	7.8704
