GeneSymbol	studyA_case01	studyA_case02	studyA_case03	studyA_case04	studyA_case05	studyA_case06	studyA_case07	studyA_case08	studyA_ctrl01	studyA_ctrl02	studyA_ctrl03	studyA_ctrl04	studyA_ctrl05	studyA_ctrl06	studyA_ctrl07	studyA_ctrl08
SYNTH0375	3.9069	5.9307	5.0444	5.1293	5.1293	NA	5.0444	5.5546	4.3923	4.1699	3.9069	5.0875	4.5850	5.3576	5.0875	4.4594
SYNTH0376	3.3219	3.5850	3.8074	4.3219	4.3219	4.3923	4.0000	4.3923	4.0000	3.7004	3.9069	4.0000	4.0875	4.0000	4.6439	3.8074
SYNTH0377	8.3309	7.2761	5.9307	7.3038	7.9307	7.4346	6.6147	7.6865	7.1189	6.4919	7.8887	7.1799	8.6653	6.8074	6.5546	7.7142
SYNTH0378	4.7004	5.5850	5.4919	5.0875	4.7004	4.8580	4.3923	4.3923	4.3923	2.3219	4.2479	3.7004	3.7004	3.4594	3.1699	0.0000
SYNTH0379	5.9069	4.5850	6.0661	6.0875	5.0444	5.4594	5.2095	6.4429	6.0875	5.3576	6.4429	4.9542	6.8826	5.9069	5.6439	6.5078
SYNTH0380	5.0444	5.3219	5.3219	5.6147	4.7004	4.0875	4.1699	5.0875	5.3923	6.3219	5.8074	5.3219	5.7279	5.5546	6.4429	5.1293
SYNTH0381	7.5236	6.0000	5.6724	6.7415	7.0980	6.5546	7.7415	7.0553	6.0000	6.0444	6.4757	7.1189	7.5314	6.7004	6.0661	6.8074
SYNTH0382	3.3219	3.1699	4.4594	3.7004	3.1699	4.1699	2.5850	3.9069	3.9069	2.8074	4.3923	3.8074	2.5850	2.0000	4.3219	3.5850
SYNTH0383	7.3309	6.4429	6.9542	6.5699	5.2854	6.3923	6.0661	6.7279	5.5850	7.2192	6.3576	6.1497	6.3923	5.6724	5.9307	6.0444
SYNTH0384	6.0444	7.6582	5.7549	5.8580	6.8580	5.4263	5.8329	6.6865	6.8826	6.9542	6.4594	5.6147	6.6439	6.3923	5.0875	7.2192
SYNTH0385	5.0444	4.9542	5.2854	5.9307	5.6724	4.6439	4.9069	5.4594	4.5236	4.4594	5.5546	5.1699	5.6439	4.9069	5.7004	5.1293
SYNTH0386	8.3129	7.0000	6.4919	7.8392	7.8009	6.7142	8.0224	8.3837	8.2046	8.2668	7.7211	7.5774	8.1085	8.4471	7.7279	7.3399
SYNTH0387	5.7549	4.4594	6.0000	6.1898	5.0444	6.2288	5.0000	5.4919	6.5699	6.7944	7.6147	6.9773	7.5078	6.6582	7.0553	7.1085
SYNTH0388	2.5850	3.9069	3.9069	3.0000	4.0875	3.0000	3.4594	2.5850	4.0000	4.1699	4.0000	4.3923	3.4594	1.5850	3.1699	3.4594
SYNTH0389	2.5850	2.0000	2.5850	3.7004	3.5850	2.5850	2.0000	2.0000	3.0000	4.8074	5.2479	4.0875	4.2479	4.9542	4.0875	4.7549
SYNTH0390	5.5236	5.5546	5.0000	6.7944	5.2854	6.1085	5.8580	6.9887	5.7279	5.4263	7.0875	6.2668	6.0444	5.8329	6.5236	5.5546
SYNTH0391	4.5850	6.4263	5.0444	5.4919	3.7004	3.0000	4.9069	4.9069	6.6147	5.7549	6.6294	7.1497	6.6147	7.0553	7.1189	7.0875
SYNTH0392	4.1699	4.3219	5.0875	5.1293	5.2095	5.6147	4.4594	4.7004	5.2854	5.4919	4.3923	4.8580	5.4919	5.1699	4.9542	5.3923
SYNTH0393	4.0000	3.0000	4.4594	3.0000	4.3923	4.5850	4.0875	4.5236	4.8074	3.9069	4.3923	5.0000	4.0875	5.0444	2.3219	4.8580
SYNTH0394	8.1749	6.6439	5.8329	7.1997	7.4512	8.3399	7.9189	6.8329	5.4919	7.2192	7.1293	6.8329	6.6582	7.8009	6.7814	7.2384
SYNTH0395	NA	7.2479	7.9129	7.4512	7.2192	6.9307	6.0444	6.6724	7.7482	6.8580	7.7482	7.4346	8.1649	7.6073	7.7347	6.9189
SYNTH0396	6.3750	6.6724	8.3399	8.0928	7.1497	7.7549	7.0444	8.5430	7.8074	7.6935	7.5157	7.2946	8.3794	8.6511	7.1599	6.5546
SYNTH0397	5.3923	5.5236	5.0444	5.1699	4.5236	5.9307	5.3219	3.5850	4.2479	5.0444	4.5850	4.6439	4.5236	3.1699	4.9069	4.5850
SYNTH0398	4.0000	4.3923	4.4594	2.8074	2.5850	3.8074	3.4594	2.5850	3.4594	3.9069	3.7004	4.9542	4.3923	4.4594	2.0000	4.1699
SYNTH0399	6.1085	6.0000	6.2668	5.5850	6.2288	4.6439	6.5546	5.9069	5.2854	5.8826	5.0875	5.9069	5.4263	6.0224	6.7549	5.8826
SYNTH0400	8.1085	8.6257	7.5469	7.9009	7.9129	7.8765	8.5038	8.6582	7.4009	8.5774	7.4512	9.0607	8.1085	7.5078	8.2095	8.4094
SYNTH0401	3.1699	4.2479	2.8074	3.7004	3.4594	4.1699	3.4594	3.8074	3.1699	3.3219	4.8074	2.0000	3.8074	4.2479	3.7004	2.5850
SYNTH0402	5.5850	3.4594	5.6147	5.5236	4.8074	4.3923	5.5546	5.0000	4.6439	5.2479	5.2854	4.2479	4.7549	3.3219	5.3219	4.3923
SYNTH0403	10.3197	9.0821	9.5177	9.7108	9.2216	9.3465	10.4242	10.0154	8.6475	7.9425	8.0112	8.6760	7.8765	6.8948	7.3923	9.3707
SYNTH0404	7.3399	6.5392	6.6439	6.8329	7.3399	5.9542	8.1085	7.9600	6.8202	6.9307	7.4919	6.6439	7.3923	6.7279	6.8580	7.2668
SYNTH0405	2.0000	3.8074	3.4594	3.0000	3.8074	3.0000	4.7004	2.8074	3.1699	2.5850	3.3219	1.5850	2.0000	2.5850	3.4594	3.9069
SYNTH0406	8.2336	8.0821	8.0224	8.2808	7.5699	9.2479	6.6865	8.4179	8.0112	7.7616	7.9542	6.9069	7.3750	7.6294	7.9944	7.8765
SYNTH0407	6.1898	6.0444	6.8948	6.1497	6.7549	5.5236	5.5546	7.1699	6.8826	6.0875	6.3576	6.8826	6.6582	6.7004	6.6294	6.4594
SYNTH0408	6.5699	6.8704	6.4594	6.1293	5.7814	6.9658	6.1898	6.1699	6.2479	6.4429	5.3923	6.0444	6.0000	4.7549	6.5850	7.4094
SYNTH0409	5.9773	5.9307	6.3038	7.1293	5.8074	6.9069	7.3837	7.7482	7.9248	6.7682	6.9307	6.5999	6.2479	7.3129	7.3399	7.5699
SYNTH0410	6.5236	5.9069	5.5546	4.2479	7.2479	6.7814	5.9069	6.6724	5.9069	NA	5.9069	5.7279	6.7004	6.8329	4.8074	6.9658
SYNTH0411	6.0444	5.7814	5.1293	5.3576	5.3219	4.8580	6.6582	4.0875	5.2854	4.0875	5.5546	4.5850	5.3923	6.2668	4.4594	2.0000
SYNTH0412	8.7313	9.6239	7.2854	7.8517	8.1948	9.4533	8.5392	9.0251	8.4009	8.7381	9.0901	8.5236	7.0444	8.7039	9.1215	7.4757
SYNTH0413	7.2479	6.0444	5.1293	6.4429	5.7549	5.7279	4.4594	6.6724	6.6147	5.2479	6.8826	4.7549	5.1699	6.8580	6.3923	6.9542
SYNTH0414	6.3750	5.6439	5.4594	6.4429	7.4512	5.9542	6.0000	6.2288	7.4676	6.7415	6.6865	7.0980	7.4838	5.5850	5.5546	7.0661
SYNTH0415	5.6147	4.2479	6.8329	5.5236	5.2479	6.1898	4.7549	6.2479	6.2288	4.8580	5.7279	5.8329	5.0444	6.1293	5.7814	5.9773
SYNTH0416	8.2336	7.3576	7.8765	8.5157	7.6147	7.3399	7.6865	8.0768	7.4263	8.4094	8.0875	7.7944	6.9069	6.9773	7.4838	8.0821
SYNTH0417	6.7142	7.0661	6.9307	6.0224	6.5078	6.5850	5.9069	5.8826	6.0224	7.2288	6.9658	5.7814	5.0444	6.8202	6.2479	5.7279
SYNTH0418	6.9069	5.8074	7.0224	7.0224	5.4263	5.7814	5.4919	6.8826	6.7682	6.8074	6.6582	6.4094	6.6582	5.7004	5.1699	6.5850
SYNTH0419	3.1699	1.5850	3.0000	3.4594	4.4594	3.1699	4.3923	0.0000	4.1699	2.8074	3.4594	3.4594	3.4594	3.5850	4.0875	3.0000
SYNTH0420	2.3219	4.4594	4.8580	4.5850	4.5236	2.0000	3.3219	4.0875	4.5850	1.5850	3.9069	3.0000	3.4594	4.0875	2.0000	3.3219
SYNTH0421	7.0000	7.5314	7.9484	7.1497	6.9189	7.4346	6.5699	8.1085	7.3663	6.7415	7.2095	5.8074	6.9307	6.0000	7.5314	6.1898
SYNTH0422	5.4263	6.7279	6.6724	7.1189	4.8580	6.8202	6.3923	5.7279	7.0553	6.3399	8.1241	7.3923	7.3923	8.0279	7.8948	7.6511
SYNTH0423	2.8074	3.0000	2.8074	3.7004	2.5850	2.3219	3.0000	2.0000	5.2479	3.3219	3.9069	3.8074	4.3219	2.0000	5.5236	4.8580
SYNTH0424	5.7004	8.3487	8.4553	7.9425	9.0634	7.9129	8.7142	7.9425	8.5622	7.4346	7.8455	9.2877	7.0875	7.8009	8.4798	7.8517
SYNTH0425	4.8580	2.5850	3.5850	5.3923	4.7004	5.1699	4.9542	4.9542	5.0000	NA	4.6439	3.1699	2.3219	3.8074	4.0000	3.8074
SYNTH0426	3.8074	4.0000	3.4594	3.8074	3.5850	0.0000	3.4594	3.7004	3.7004	1.5850	3.3219	4.1699	3.5850	3.9069	4.2479	4.3219
SYNTH0427	7.3219	7.9189	8.2143	7.9129	7.6439	8.4009	7.6511	7.4757	7.7347	8.4429	5.9773	7.5699	8.0661	7.5622	7.6653	7.6865
SYNTH0428	8.1241	6.3923	7.3576	7.5392	6.3038	7.2668	7.5850	6.4757	7.1085	NA	7.3837	6.8704	6.2854	6.3923	6.5999	7.0980
SYNTH0429	6.3750	7.1799	6.3038	6.3038	6.8580	6.1898	7.4757	5.4919	6.6439	6.5999	6.5999	6.5999	6.4757	6.7004	6.5236	6.5078
SYNTH0430	4.8074	5.0000	4.1699	3.1699	5.3219	5.0875	4.8580	4.9069	3.1699	5.0000	5.2479	4.7549	4.0875	4.7004	4.3219	4.9542
SYNTH0431	4.0875	4.0875	5.1699	3.0000	3.5850	3.8074	5.0000	4.5850	4.6439	5.6439	6.2854	4.3219	5.4263	4.7549	5.9069	5.0000
SYNTH0432	7.9069	6.9189	7.6294	7.1293	6.0661	7.2095	NA	6.9773	7.9600	7.7616	7.3399	8.6830	7.9542	8.3038	7.0112	7.8580
SYNTH0433	4.0000	5.2854	2.3219	4.4594	3.9069	2.5850	4.4594	4.0000	5.0875	6.6582	5.9542	5.5850	5.9773	4.5850	5.1293	NA
SYNTH0434	5.9069	5.4594	5.6439	5.4594	5.0875	5.5850	3.8074	4.8074	4.7549	6.0661	NA	5.0000	5.7549	4.0875	5.6724	5.3219
SYNTH0435	3.0000	1.0000	2.3219	2.5850	2.5850	3.4594	3.8074	3.1699	3.1699	2.5850	2.8074	3.0000	2.5850	3.1699	2.3219	3.3219
SYNTH0436	6.0661	6.4263	4.5850	4.8074	5.9542	5.2854	3.5850	4.7004	5.9773	5.4263	5.4263	6.0661	5.8329	5.2479	6.6439	5.1293
SYNTH0437	4.1699	4.3219	2.8074	3.3219	4.0875	4.2479	3.5850	3.1699	4.1699	4.5850	3.4594	3.8074	3.4594	3.5850	3.5850	3.3219
SYNTH0438	9.0607	8.9009	8.6653	8.9915	9.4284	9.1849	9.7830	9.7616	8.4757	9.0417	8.3354	8.6402	7.8517	7.2946	8.4676	8.1293
SYNTH0439	7.2854	7.4838	6.6582	NA	6.8455	7.3663	7.3576	6.9542	7.8329	6.8580	7.1396	6.7279	6.9887	7.1396	6.8329	7.2668
SYNTH0440	3.8074	4.7549	4.5850	4.0875	3.1699	4.2479	3.4594	4.5236	5.5546	5.3576	4.6439	5.5236	5.0000	5.4919	4.0875	5.3576
SYNTH0441	8.0715	8.3264	8.6795	8.0821	7.8580	7.5699	7.7879	8.9039	7.9484	7.4676	8.4051	8.6760	8.2384	7.3038	6.1898	7.9887
SYNTH0442	5.6439	5.2479	4.9542	5.4594	5.3219	5.1699	4.3923	4.0000	5.0000	5.0875	5.2854	5.6439	5.4919	5.2095	4.5850	5.9773
SYNTH0443	8.7039	8.5038	8.4717	9.2877	9.3772	9.0140	9.2384	8.8361	7.5622	7.1497	7.4094	8.0056	6.6865	8.1548	8.0112	7.6511
SYNTH0444	4.6439	4.9069	5.5850	4.8074	5.2854	5.6439	4.7004	5.3923	3.9069	3.3219	4.6439	4.7004	3.4594	4.2479	4.0000	3.9069
SYNTH0445	4.6439	3.3219	4.9542	4.9069	4.7004	4.6439	5.0000	4.9069	3.8074	4.9542	4.3923	5.2854	5.4263	4.5236	4.4594	4.4594
SYNTH0446	8.7448	8.4221	9.1724	9.7039	8.3309	8.8234	7.8392	9.6239	7.5999	7.6511	7.4179	9.0028	6.8074	9.4094	8.5392	7.9830
SYNTH0447	8.6147	8.6294	9.2192	8.9039	8.5392	8.1799	7.1396	7.5546	9.1111	9.8611	8.8704	8.3174	8.6110	7.1898	NA	8.8106
SYNTH0448	4.2479	4.7004	4.5850	3.4594	3.5850	4.3219	4.1699	3.7004	NA	4.8580	4.9069	6.2479	4.5850	5.7549	5.3576	5.7279
SYNTH0449	7.2668	5.7814	7.0000	8.1997	7.9425	7.8704	7.1085	6.7004	7.9658	7.9830	8.4094	7.0444	7.2761	7.2668	6.5078	7.9887
SYNTH0450	5.7814	6.0000	6.3923	6.1085	5.3219	4.9542	6.7279	5.1699	6.1898	6.2288	6.1085	6.0875	5.4919	5.3576	5.2854	5.3923
SYNTH0451	4.8580	5.8329	4.0875	6.0661	5.7279	5.3219	6.1699	5.8826	3.1699	3.3219	4.9542	4.8580	5.0444	4.7549	4.3923	4.4594
SYNTH0452	5.8826	4.7004	5.4919	6.8074	4.0875	4.3219	5.3576	4.3923	5.3219	4.3219	5.0000	5.6724	5.8580	4.7004	5.8580	4.7004
SYNTH0453	5.7549	5.5850	5.7814	3.5850	4.9542	5.5546	5.1699	3.7004	6.9307	5.6147	7.3487	6.7682	6.6147	6.2668	7.2479	6.9887
SYNTH0454	3.0000	3.8074	2.8074	2.5850	2.8074	3.1699	2.5850	3.0000	2.5850	2.3219	2.3219	3.4594	3.4594	3.0000	3.4594	3.5850
SYNTH0455	9.0928	8.2808	8.1948	8.4009	7.9715	7.8765	8.3399	6.3576	8.8041	8.8611	7.8704	8.3083	7.3129	8.3038	8.0553	7.6795
SYNTH0456	5.0444	4.7004	6.2668	5.2854	7.0875	5.3923	5.7004	5.7004	5.4263	5.0875	4.1699	5.2479	6.5546	5.8580	6.0875	5.4263
SYNTH0457	3.5850	3.4594	2.3219	3.0000	3.5850	2.5850	3.0000	4.3219	3.0000	4.4594	4.2479	0.0000	3.0000	3.4594	4.0875	3.7004
SYNTH0458	6.0661	5.3219	4.5850	5.7549	5.6724	5.6147	5.4263	5.6724	4.5236	4.9542	5.2479	4.9069	5.4263	4.9542	5.9307	4.1699
SYNTH0459	6.0875	6.7415	5.4594	5.8329	5.6439	5.2095	5.1699	6.7944	5.5850	5.5850	4.8580	6.1293	5.5546	5.9773	6.5392	6.0661
SYNTH0460	6.1898	5.8826	6.4263	6.2095	6.7279	6.8455	6.5999	6.5850	7.3399	8.2946	7.8009	6.8580	8.2992	7.9248	7.5774	7.1189
SYNTH0461	7.1599	6.7814	8.1997	7.1497	6.9542	6.3219	5.6439	6.1699	7.5699	6.6294	6.3750	7.8138	6.3576	6.6294	6.9887	7.5699
SYNTH0462	6.0661	6.7549	6.7004	5.7004	5.6439	5.4919	5.4919	6.6582	6.4594	6.8580	6.3038	6.4757	5.5850	5.4263	5.6439	6.5392
SYNTH0463	3.3219	3.0000	2.8074	2.0000	3.5850	2.5850	3.1699	3.1699	4.0000	4.1699	3.5850	3.4594	4.0000	3.3219	3.3219	3.3219
SYNTH0464	5.4594	5.9069	4.9542	6.1699	4.5236	5.1699	6.9069	4.4594	5.3923	5.4919	5.5850	5.8329	5.4594	6.1898	5.9542	5.0000
SYNTH0465	5.4919	5.9773	6.5999	5.8580	NA	5.4919	6.4429	6.6582	5.7549	6.1699	5.8074	6.5392	5.9069	6.0000	5.1293	6.1898
SYNTH0466	6.4429	5.0875	5.9307	5.4263	6.3399	5.0444	6.3219	5.4263	4.6439	3.3219	5.7814	5.8074	5.5546	6.3923	5.1293	6.0000
SYNTH0467	4.7004	2.5850	2.3219	4.0000	4.0875	3.0000	3.5850	4.0000	4.1699	2.5850	3.0000	4.7549	3.8074	3.4594	3.3219	0.0000
SYNTH0468	5.1699	4.6439	4.4594	5.2095	4.8580	6.1085	5.3219	3.7004	4.9542	5.6724	6.2095	5.6724	5.6147	4.1699	5.6439	5.2479
SYNTH0469	6.4594	6.4263	6.1293	5.1293	7.0553	5.6439	5.9069	5.5546	6.0444	5.6724	6.2668	6.2854	6.2479	6.4757	5.3219	5.2479
SYNTH0470	4.5236	NA	4.0000	4.7004	3.5850	5.0000	4.0875	4.3219	3.9069	4.5850	5.0444	3.7004	4.1699	4.7549	4.7004	5.1699
SYNTH0471	4.5236	4.3219	3.9069	2.8074	2.8074	3.4594	3.4594	4.4594	4.3219	4.1699	4.0000	3.0000	5.2479	4.3219	4.4594	4.0000
SYNTH0472	6.4757	6.7814	5.8074	7.1898	7.0000	6.7004	7.3129	7.8704	6.2095	7.0444	7.4757	7.4094	6.4594	6.7549	6.7814	7.1189
SYNTH0473	6.7682	7.3923	7.5774	6.9542	6.8329	5.4919	7.8948	7.3219	8.9687	8.3399	7.3837	7.1997	8.0000	8.2336	7.9600	7.0768
SYNTH0474	7.0444	6.8329	6.6865	6.7142	7.2095	NA	7.8329	6.8455	6.2479	5.4263	4.2479	5.6724	6.5236	5.5236	5.4919	4.7004
SYNTH0475	7.7549	7.3663	8.5038	7.7004	7.4512	7.5469	7.3837	8.2240	8.2946	7.4512	6.9425	8.8796	7.8517	7.9009	7.8392	8.3619
SYNTH0476	3.3219	3.7004	3.3219	3.7004	4.3219	3.8074	3.1699	3.4594	4.5850	3.3219	2.8074	4.0875	1.5850	3.7004	2.5850	2.5850
SYNTH0477	7.3837	7.5699	7.8704	7.4179	6.7944	7.4512	7.2384	6.9425	6.5999	6.5546	7.4009	6.6147	6.0000	7.9189	7.1997	6.5392
SYNTH0478	8.4798	7.3487	8.3399	8.5196	7.2192	8.8978	8.3309	8.5736	7.7142	8.4512	7.2192	8.7313	7.5699	8.5622	7.8580	7.7347
SYNTH0479	3.0000	5.1699	4.3219	3.1699	4.1699	2.8074	3.4594	5.3923	4.7004	4.2479	4.2479	3.3219	5.0444	4.2479	4.1699	4.9542
SYNTH0480	4.1699	4.3219	4.3923	5.4263	4.5850	4.5850	4.9069	5.5236	4.3923	5.1293	5.4263	5.3219	3.7004	5.1699	4.7004	4.8074
SYNTH0481	3.8074	4.7549	4.5236	4.4594	3.5850	4.3219	5.2095	3.7004	4.2479	4.7004	2.8074	4.8074	5.2479	4.1699	4.0000	3.5850
SYNTH0482	2.8074	5.5236	5.0000	5.5236	5.3576	5.1293	5.9307	5.0444	5.1293	4.6439	4.8580	5.5236	5.2479	4.7004	5.0444	5.3923
SYNTH0483	8.2527	8.0768	8.8329	9.6165	8.3219	9.2854	8.9099	9.1137	8.3966	9.0848	8.0661	9.3083	8.8765	8.1649	8.8734	9.3083
SYNTH0484	2.3219	4.0000	4.7004	3.7004	2.8074	2.0000	4.0000	4.3923	4.0000	4.3219	4.1699	4.7004	3.8074	4.2479	3.7004	4.6439
SYNTH0485	8.8424	8.8887	9.1267	7.2479	7.7748	8.7649	8.8202	7.3309	9.5157	9.0688	9.0901	8.2854	8.3309	7.6147	8.9887	8.7448
SYNTH0486	6.3923	6.3399	5.3923	6.0444	6.2668	6.4594	7.2668	5.0875	5.3219	5.5236	5.8826	5.4594	4.9069	5.4263	4.3219	5.1699
SYNTH0487	2.5850	3.3219	3.1699	3.4594	0.0000	2.3219	3.1699	3.4594	3.5850	3.1699	2.0000	3.1699	3.8074	3.3219	3.3219	1.0000
SYNTH0488	5.6439	6.4594	4.5850	5.3923	5.7814	6.8826	5.8826	6.0661	6.7415	5.9307	NA	5.9307	5.9307	5.4919	6.0875	6.6147
SYNTH0489	4.5236	5.1699	3.7004	4.5236	4.5236	4.9542	4.4594	4.3219	4.8580	4.5236	5.0875	4.8074	3.4594	4.3923	3.9069	3.5850
SYNTH0490	0.0000	2.8074	4.5850	3.3219	3.1699	3.0000	3.1699	4.0000	4.5850	3.8074	4.0875	4.3219	4.8074	3.8074	2.3219	4.2479
SYNTH0491	3.3219	3.7004	4.0000	3.1699	3.3219	3.0000	3.0000	4.0000	3.5850	3.8074	4.1699	5.1293	3.4594	4.0875	3.4594	3.1699
SYNTH0492	3.7004	4.3219	3.8074	2.8074	5.0875	4.1699	3.1699	3.4594	4.0000	3.4594	3.8074	3.8074	3.3219	4.3923	4.7549	3.5850
SYNTH0493	6.1293	6.7682	6.7814	7.5314	7.7142	6.7549	6.4757	7.0553	6.5699	7.6511	7.2854	6.6147	6.6724	7.1293	6.1699	7.6147
SYNTH0494	4.9069	5.2854	6.6865	7.0334	6.8329	5.9307	5.8074	5.4263	6.1898	5.0444	6.7004	6.0000	5.7279	5.0000	5.9307	5.0444
SYNTH0495	7.6724	7.7142	6.9425	6.3399	7.4757	7.4594	7.3576	7.1799	7.5392	7.5999	6.9658	7.9248	7.7814	8.4263	6.9773	6.9887
SYNTH0496	7.4676	7.5314	8.4471	8.3309	8.2761	8.4346	9.2167	8.8106	8.7074	8.8765	8.9099	7.5392	7.5469	6.5546	8.7781	7.9248
SYNTH0497	7.2384	6.5392	7.4009	6.9542	6.9773	6.1293	7.9129	6.8826	6.6582	6.3399	5.8074	5.4594	6.2854	5.9773	5.5546	6.5546
SYNTH0498	8.8611	8.9744	8.4305	8.6724	8.8642	8.4757	7.3663	8.0056	9.2021	8.9744	8.2143	8.2668	8.8857	8.4998	9.3923	7.4676
SYNTH0499	8.4635	8.9425	8.4179	8.8734	8.9396	7.6366	8.6294	8.3354	7.3837	8.3663	9.1624	7.8704	8.0980	NA	8.3083	7.8455
