GeneSymbol	studyC_case01	studyC_case02	studyC_case03	studyC_case04	studyC_case05	studyC_case06	studyC_case07	studyC_case08	studyC_case09	studyC_case10	studyC_ctrl01	studyC_ctrl02	studyC_ctrl03	studyC_ctrl04	studyC_ctrl05	studyC_ctrl06	studyC_ctrl07	studyC_ctrl08	studyC_ctrl09
SYNTH0303	4.5236	4.6439	4.7004	5.2479	5.0444	5.0444	2.5850	3.5850	5.2095	4.1699	4.1699	4.5850	4.6439	3.3219	5.0444	4.2479	4.5236	4.1699	4.7549
SYNTH0304	6.9069	5.4263	6.2479	5.4594	6.2668	5.6147	5.9542	6.3923	6.6865	7.0000	3.7004	4.8074	5.0444	4.0875	4.9542	4.9069	4.8074	4.7549	4.0000
SYNTH0305	8.2574	8.6935	8.8329	9.1085	8.0875	8.8826	7.9248	7.6935	7.9773	8.1497	9.1472	8.4594	8.4919	8.8138	9.1624	9.0715	9.0875	8.7381	8.9830
SYNTH0306	9.4221	8.9189	9.0471	NA	7.4263	9.4594	9.1189	8.9189	6.9425	8.9972	8.5469	9.9715	9.3945	8.0553	8.8009	7.9009	9.3376	8.5275	9.5831
SYNTH0307	2.0000	3.5850	3.1699	3.1699	4.2479	3.0000	2.3219	3.7004	2.5850	3.5850	4.5850	3.3219	1.5850	3.3219	2.5850	3.8074	3.3219	3.8074	3.4594
SYNTH0308	5.5850	5.9773	5.5236	6.5999	6.5850	6.6294	4.7549	5.5236	5.6147	5.8826	6.0000	5.2854	6.3399	6.4429	6.1085	6.6865	5.7549	5.0000	5.7549
SYNTH0309	7.8704	8.2432	8.0279	9.1898	8.7245	9.1085	8.8392	7.1396	7.9129	7.4757	10.0661	7.8948	8.7944	8.8796	9.4778	8.1085	8.4594	8.8826	8.9744
SYNTH0310	8.6618	7.3837	8.5622	8.6475	7.9425	7.2192	7.9069	8.4263	8.3487	7.4512	8.8361	8.3794	8.5236	8.2761	7.3399	7.0000	8.2046	8.1447	7.4429
SYNTH0311	5.7814	5.6439	5.7549	5.6724	6.7279	6.9189	4.7549	6.4594	5.4594	5.3219	5.3923	4.5236	5.0444	5.7004	5.6147	6.2668	3.9069	6.2668	5.5236
SYNTH0312	7.1396	6.3576	7.0980	8.2946	7.9009	6.6294	7.0224	7.2761	7.4009	7.0000	5.7004	6.4919	6.7814	6.4263	NA	6.9425	7.2095	7.8455	8.0444
SYNTH0313	8.0389	7.9248	9.0028	8.7074	8.5157	6.7004	8.0444	6.4094	8.7108	8.3443	8.6582	8.7245	8.4838	8.7515	8.7781	8.0168	8.5196	6.6439	9.1624
SYNTH0314	7.2384	5.8826	8.1849	6.8074	6.4429	6.7944	6.5392	7.5546	5.9542	6.7944	8.3219	8.0444	9.5294	8.3083	8.5392	8.1033	8.5661	7.9658	8.8887
SYNTH0315	5.0875	5.8826	5.1699	5.2479	5.4263	5.3576	5.4594	4.6439	4.3923	4.3219	5.3576	5.2095	4.8580	4.1699	6.3038	4.9069	5.9307	5.7549	5.9307
SYNTH0316	4.7549	5.5546	5.8074	5.7004	5.9542	5.1293	5.8826	6.3750	5.8074	6.5699	6.3038	5.3219	5.4263	5.4594	5.8580	5.2854	5.1699	5.7549	4.5850
SYNTH0317	4.6439	4.9069	5.2479	5.4594	4.5236	5.0000	3.8074	5.4594	3.5850	4.8074	5.5236	4.9069	4.4594	5.0000	4.8074	4.1699	4.7004	5.5546	4.3923
SYNTH0318	5.4919	6.2095	5.8074	6.3399	6.8455	6.1293	6.2095	4.6439	5.2479	5.2854	6.0224	6.1699	5.3923	5.0875	6.8826	5.8580	6.1898	5.7549	6.7549
SYNTH0319	3.4594	5.3576	4.3219	5.2854	3.8074	3.9069	4.0875	3.8074	3.8074	4.4594	4.1699	4.8074	3.9069	2.3219	4.5850	3.1699	4.0875	5.0444	4.7004
SYNTH0320	6.5850	7.4009	6.6582	7.0980	6.4263	6.5699	7.0875	6.1085	7.1599	7.3487	7.1699	7.0980	6.4094	6.8704	7.6147	6.2479	7.5392	7.5392	7.4179
SYNTH0321	7.7142	8.2900	7.8642	7.4594	8.0444	8.4838	7.1085	7.0112	7.2479	8.6475	8.1241	9.1724	7.9715	9.0334	7.9600	8.4798	8.6073	7.5314	6.1497
SYNTH0322	5.8580	7.1189	7.6439	5.8329	7.0224	7.0980	7.7616	7.4919	7.0980	7.7748	6.7682	7.5314	7.2479	5.6439	6.1085	8.3923	7.8265	6.2288	8.0444
SYNTH0323	5.2854	3.3219	4.8074	3.1699	3.5850	4.8580	4.7004	4.6439	4.4594	5.3576	4.5850	4.6439	4.9069	4.0875	3.3219	3.9069	4.0875	4.4594	4.3923
SYNTH0324	8.1548	7.5078	7.2288	7.9600	7.0334	8.2479	8.4429	7.9542	7.8138	7.7004	8.2900	7.8455	7.5699	7.6147	8.3038	7.2668	7.5925	8.3083	7.8642
SYNTH0325	6.3038	5.1293	5.8074	6.4594	4.7549	5.5546	6.7142	4.9069	5.5546	6.0224	6.0224	5.3576	NA	6.0661	4.9542	5.9542	6.0875	6.3750	6.8948
SYNTH0326	4.9069	4.4594	3.9069	4.7004	4.0000	4.7549	5.5236	5.0444	4.8580	5.1293	6.4919	4.0000	3.5850	3.8074	6.4429	5.2854	6.1699	4.9069	4.8580
SYNTH0327	8.2095	9.2095	9.5622	9.4979	8.0821	8.5999	9.4757	7.7944	8.2900	8.5353	8.3707	8.2192	8.8202	8.9069	9.0112	8.5584	8.8041	8.7781	9.1370
SYNTH0328	5.1699	5.6439	5.9307	5.0000	5.8074	5.8580	5.3219	5.8826	6.1085	6.1699	6.0661	6.6147	6.0444	5.8329	5.7279	5.7004	2.3219	5.5546	6.0000
SYNTH0329	4.0000	2.8074	4.4594	3.8074	3.4594	3.5850	1.5850	3.4594	3.5850	3.0000	4.0000	3.9069	0.0000	2.0000	2.0000	3.8074	3.1699	NA	4.0000
SYNTH0330	8.6221	8.4717	8.3219	9.1370	7.9542	8.5622	7.7616	7.9248	8.4471	8.0715	8.6795	8.3083	8.0334	8.3174	8.2946	8.2946	9.3554	7.9830	9.2021
SYNTH0331	4.3923	4.2479	5.3576	5.2095	5.9542	5.1293	4.7549	5.7279	3.5850	5.7279	5.1293	5.3576	5.4263	4.0875	4.8074	4.5236	5.0000	4.8074	5.0875
SYNTH0332	8.7912	9.2691	8.4263	8.8455	8.1497	8.8297	9.6439	8.7912	8.9278	9.0768	8.9337	8.4959	6.8948	9.2900	9.3197	8.9687	8.5850	7.4346	9.4136
SYNTH0333	7.4429	8.0980	7.1699	7.4919	6.7814	7.3576	7.3219	7.1085	7.7748	8.0498	7.7879	7.1997	7.4429	5.8826	6.7682	7.9484	7.0768	6.9069	6.1699
SYNTH0334	9.7091	8.4051	8.7004	8.6795	8.9009	10.3869	8.7814	8.2946	9.0224	9.6312	8.6653	7.5999	8.4878	7.9248	8.1396	8.4959	7.8265	8.0444	7.1396
SYNTH0335	5.5236	4.0875	5.0000	4.9069	4.0875	5.8329	5.1699	5.4263	5.5850	5.4919	5.9542	5.0000	4.4594	4.8074	5.0875	4.0875	4.9069	5.5236	5.0444
SYNTH0336	2.8074	1.5850	2.0000	3.4594	0.0000	1.5850	0.0000	2.0000	2.3219	1.0000	3.1699	2.3219	3.0000	3.5850	2.3219	3.3219	3.4594	2.5850	3.5850
SYNTH0337	5.8329	5.3923	5.7549	5.1293	5.6147	5.7549	5.4919	6.2095	6.3219	NA	5.4263	6.3399	5.6439	5.7004	6.2288	5.1293	5.7279	5.4263	5.0875
SYNTH0338	7.1599	7.5392	7.2854	7.6366	6.6865	6.3399	7.0661	7.7074	6.7004	6.4594	6.6865	6.6865	6.4094	6.5546	7.0768	6.8455	6.7415	6.3038	6.3038
SYNTH0339	5.4919	5.0875	5.0000	5.3576	6.3219	4.8580	5.0000	5.1699	4.7004	4.5236	4.9542	5.5546	4.7549	4.3923	3.9069	4.8580	5.7549	5.1699	5.3219
SYNTH0340	6.2095	7.5999	7.4919	6.8948	7.4676	6.4094	7.1997	7.2946	7.0980	7.7549	6.2095	6.1085	6.6294	7.6294	7.2288	7.0112	6.4757	5.8826	7.8265
SYNTH0341	5.4594	4.4594	6.0661	5.8329	6.8074	6.1085	5.3219	6.7814	6.7814	5.7004	5.4919	5.8826	7.4009	6.0444	5.1293	6.7142	5.0875	6.3576	4.9069
SYNTH0342	8.4757	7.5622	7.9069	8.0056	8.0553	7.1599	8.0000	7.4676	8.7515	7.1997	7.6865	6.9189	8.2668	8.1293	7.1085	6.7415	8.1849	7.9425	7.7142
SYNTH0343	4.4594	6.1085	4.4594	6.0000	4.8074	4.8580	4.3219	4.4594	5.5546	4.8580	4.4594	3.8074	4.3923	4.3923	4.4594	3.9069	4.5236	4.0875	3.3219
SYNTH0344	2.5850	2.8074	3.8074	4.0000	3.9069	3.4594	4.2479	3.5850	3.8074	3.7004	3.7004	3.5850	3.3219	3.5850	4.2479	NA	3.7004	2.8074	3.4594
SYNTH0345	8.7177	8.9425	8.5546	8.9278	8.6935	8.1948	6.5999	8.1749	8.9972	9.5353	8.0056	8.4471	8.2240	7.4429	8.5038	8.9830	9.4030	8.1599	7.6795
SYNTH0346	3.1699	4.5850	3.4594	3.7004	4.7004	2.3219	3.9069	4.0875	4.7549	4.6439	3.8074	4.9542	4.0875	4.0000	4.0000	3.8074	4.0875	4.8074	2.3219
SYNTH0347	3.9069	4.8580	4.2479	4.8074	4.9069	4.0000	3.7004	3.8074	5.2479	3.9069	4.2479	4.3219	4.8074	4.7004	5.1293	4.5236	4.8074	4.4594	5.1293
SYNTH0348	4.7549	3.7004	3.0000	4.3923	2.8074	NA	4.4594	4.1699	4.7549	3.0000	5.0875	5.6439	5.4594	4.3923	5.7279	5.4594	5.0000	5.0444	5.7279
SYNTH0349	8.1948	7.5925	8.3174	7.6653	9.0307	8.9307	8.0279	8.5699	7.7682	8.7944	8.2288	7.9484	5.8580	8.6036	7.6795	8.7977	8.1799	8.3354	8.3663
SYNTH0350	8.6475	8.4998	8.1599	9.0056	8.2384	8.9009	8.1749	8.8041	8.6330	8.6511	9.6110	7.3750	9.9701	6.1085	8.5661	8.9159	8.1749	8.4388	8.2668
SYNTH0351	4.4594	2.8074	2.8074	3.4594	1.0000	2.5850	3.1699	4.0000	3.3219	4.0875	3.0000	2.8074	1.0000	3.5850	4.3219	3.5850	3.9069	3.7004	3.3219
SYNTH0352	7.9715	6.9189	7.6511	7.9484	7.5546	7.1189	8.4471	7.8392	5.1699	7.9773	8.1344	8.6073	7.9248	7.8887	7.7142	7.2384	6.5546	7.5157	7.6935
SYNTH0353	8.0980	9.5469	8.6830	8.1799	9.1649	9.1548	8.7381	9.7582	8.9307	9.1059	8.6546	9.1923	8.3576	8.5925	8.3707	7.2761	9.2216	8.3264	9.8948
SYNTH0354	3.5850	4.1699	3.4594	4.2479	3.9069	3.7004	4.6439	3.3219	3.1699	3.9069	3.1699	4.1699	3.7004	4.3219	2.3219	2.5850	4.6439	3.0000	2.8074
SYNTH0355	6.6724	6.7415	5.6147	5.7549	7.0444	6.4919	6.5699	6.1085	5.0000	5.0444	6.0444	6.6147	6.7814	5.8074	6.0875	6.5999	6.0661	5.8074	6.8826
SYNTH0356	7.5236	7.7074	6.6865	8.5622	7.1997	7.7814	7.8138	7.4676	8.2143	7.7415	6.7549	8.1997	8.5774	7.0875	7.8642	6.7944	7.3309	8.5275	7.9129
SYNTH0357	7.9773	10.2070	8.4838	7.2095	8.1898	9.2877	8.5622	7.6582	8.8455	8.6110	9.0251	8.8611	7.6366	8.9773	8.3219	8.5157	9.1624	9.0389	7.7616
SYNTH0358	7.9484	7.7415	6.3038	6.9069	8.2715	7.8009	8.5118	7.3837	6.5078	6.0661	8.0444	6.6147	7.9773	7.2095	7.4757	7.9773	8.1548	7.5314	7.2479
SYNTH0359	5.4594	5.0000	6.0444	5.7279	6.2668	5.7549	5.0875	5.9307	6.3399	6.3038	5.2854	5.7814	6.9069	4.5850	5.8329	5.5546	6.4094	5.7279	6.3399
SYNTH0360	9.1396	9.2784	8.6036	10.2491	8.8392	8.1699	8.7108	8.8074	9.2216	9.6546	8.2479	9.1948	7.1799	8.5353	9.4939	8.6257	9.6110	8.6724	8.6900
SYNTH0361	3.4594	5.3923	5.8580	4.7004	6.0661	5.2854	6.3750	4.7004	5.3219	4.8074	5.0875	6.1898	5.8580	6.3219	5.5546	3.8074	4.2479	4.0875	5.9773
SYNTH0362	5.9069	6.0661	6.7682	6.5850	7.0444	6.1898	7.2854	7.2095	7.0224	5.9773	5.6439	6.2854	5.9307	6.0661	7.3923	6.6294	6.7549	6.9307	5.8580
SYNTH0363	8.2240	7.3038	7.0334	6.1699	7.2384	7.3576	7.8455	7.7682	7.0980	7.9009	5.4263	5.9773	7.1085	8.8424	7.5622	7.2479	7.5157	7.4594	7.6795
SYNTH0364	7.7211	8.2621	8.7846	7.7415	7.6147	8.2946	7.8455	8.4512	7.7549	9.4136	8.7279	8.3663	8.8297	7.8887	8.5196	8.6366	7.6795	8.4009	6.8580
SYNTH0365	0.0000	3.4594	1.5850	1.5850	0.0000	2.8074	2.5850	1.0000	1.5850	1.5850	3.3219	4.3923	3.0000	3.3219	2.8074	4.6439	NA	3.0000	2.0000
SYNTH0366	9.6421	9.2240	8.8486	8.4009	7.8329	9.0251	9.2644	9.2288	9.5098	8.9972	8.8170	8.3174	8.9189	9.0954	8.9658	9.4136	8.5546	8.7748	6.9189
SYNTH0367	8.2808	7.6511	8.3129	7.8009	7.4757	8.7977	8.3750	7.9425	8.8611	8.7347	8.0224	8.8202	8.7279	8.3966	8.7415	8.2046	NA	8.1447	8.3443
SYNTH0368	4.0000	4.0000	3.9069	4.4594	2.8074	3.0000	4.1699	3.9069	4.4594	4.4594	4.5236	3.4594	3.0000	3.5850	4.0000	4.5236	4.8580	4.8580	4.5850
SYNTH0369	3.7004	4.3923	5.0444	3.3219	4.4594	3.0000	4.0875	4.3923	2.0000	3.3219	3.4594	4.1699	2.5850	3.0000	3.5850	4.8580	2.0000	4.1699	3.9069
SYNTH0370	6.5546	5.4263	7.1189	6.4919	6.1293	7.0553	4.5236	6.5999	6.9773	5.5850	6.0661	6.7004	6.1293	5.5236	6.5546	6.1898	7.1997	5.9542	5.2095
SYNTH0371	8.0821	6.4263	7.5925	6.5999	8.7515	9.3531	7.7944	7.5622	7.6221	6.1699	7.7682	6.0224	8.3794	7.4998	8.2900	7.7211	7.5236	6.9069	8.4798
SYNTH0372	3.5850	4.3219	3.0000	1.5850	3.9069	3.7004	3.1699	4.6439	3.3219	4.0000	4.7549	4.1699	3.7004	2.5850	3.8074	4.0000	4.5236	3.7004	4.3923
SYNTH0373	4.7004	4.8580	2.8074	4.6439	4.8074	4.9069	4.6439	4.5850	4.8580	4.9069	4.7549	5.4263	5.6439	5.7279	4.9542	3.5850	4.7549	4.6439	5.2479
SYNTH0374	3.8074	3.9069	3.1699	3.9069	3.1699	3.7004	2.5850	2.3219	4.2479	4.0875	4.2479	3.0000	2.3219	3.1699	NA	2.8074	3.3219	2.3219	2.8074
SYNTH0375	4.5850	4.3219	3.9069	5.1699	5.6439	5.2479	4.7549	2.3219	5.6439	6.1699	5.0444	5.0875	6.6439	5.0000	5.2479	5.5850	4.3219	5.4263	5.5546
SYNTH0376	5.0875	4.0875	4.4594	4.7549	5.6439	3.9069	5.2479	3.9069	4.9069	4.8580	4.0000	5.1699	4.6439	5.2095	4.1699	4.0875	3.7004	4.3923	4.8074
SYNTH0377	7.6653	7.7482	8.2288	7.9425	7.8580	7.3487	8.3794	8.1033	7.8009	5.9542	6.9189	6.9773	8.4221	7.4757	7.0334	7.4998	7.1898	7.2288	8.2288
SYNTH0378	5.0444	4.6439	4.2479	4.5850	5.1699	5.0444	5.6439	5.0000	7.1189	6.1898	3.8074	3.4594	2.0000	3.0000	3.4594	3.9069	4.4594	3.8074	4.0000
SYNTH0379	5.5236	6.5236	5.2479	5.4594	4.9069	5.2854	6.4429	6.3750	6.2479	6.2479	5.7549	5.0875	6.2288	5.6724	5.5236	6.2668	4.8074	4.7549	6.0224
SYNTH0380	5.3576	6.3923	4.9542	5.0875	5.7279	4.3219	4.6439	5.2095	5.3576	6.0224	5.6147	5.2854	4.8580	5.9542	5.2479	4.0000	4.0875	5.3923	5.2479
SYNTH0381	6.8329	8.3083	7.6511	7.3038	7.0444	7.5999	7.1497	7.2192	7.1997	6.3923	7.4757	7.5622	7.1997	6.9542	7.1699	7.5774	7.2288	7.0224	6.8704
SYNTH0382	3.8074	3.9069	3.9069	3.8074	3.1699	3.3219	3.7004	3.8074	4.2479	4.3219	3.5850	3.7004	3.5850	4.5236	3.3219	2.5850	4.0000	3.4594	4.3923
SYNTH0383	6.7549	6.0444	6.2854	6.2668	6.1699	7.6147	5.8580	6.7279	6.1898	7.2574	6.7142	5.8074	6.8704	7.3129	6.8202	6.6724	6.6724	6.3923	7.0000
SYNTH0384	5.6439	6.5699	6.4263	6.3750	6.1293	6.9425	7.1085	6.0875	6.0875	6.8580	6.5546	7.2668	7.1497	5.9069	6.2479	7.2668	7.3750	6.7549	6.1699
SYNTH0385	5.0000	5.8074	5.3576	5.3923	6.3219	5.6439	5.8074	NA	5.3576	5.8826	5.0875	4.4594	5.5850	5.9542	4.9542	4.9069	5.3576	5.0875	5.9773
SYNTH0386	8.8074	6.8704	8.6184	8.2479	7.0000	7.8392	8.9218	6.8202	8.0498	8.4009	7.1293	8.1849	7.3038	7.4998	7.3219	8.9915	7.1085	7.7682	8.9009
SYNTH0387	4.8580	5.4594	6.0000	6.1699	5.1699	5.9069	5.4919	4.5850	6.7415	6.4094	6.7415	5.6439	7.0000	7.6935	6.7004	8.5236	6.4263	7.0444	7.0553
SYNTH0388	3.1699	3.7004	4.8074	4.5850	3.7004	2.8074	4.0000	2.8074	3.8074	3.8074	3.5850	3.9069	4.3219	4.6439	4.7549	3.1699	4.2479	4.6439	3.3219
SYNTH0389	3.0000	2.8074	2.3219	2.3219	3.8074	3.1699	3.3219	3.4594	3.5850	3.4594	4.6439	4.9069	3.4594	4.0875	4.9069	3.8074	3.3219	4.5850	4.3923
SYNTH0390	6.4594	6.1898	4.7004	5.9307	6.8074	5.5236	5.8826	6.0875	6.9069	6.0661	6.3750	6.5699	6.2668	6.1497	7.0334	6.6147	5.7814	6.3219	6.1497
SYNTH0391	5.4919	5.9773	5.8826	6.6582	5.3219	5.3219	5.2479	5.4263	6.2288	5.2479	5.4919	6.1699	6.9887	7.0875	6.1898	7.1997	7.6221	5.9773	6.8704
SYNTH0392	4.3923	5.6439	6.4094	5.9069	5.0444	5.6439	5.6439	5.1293	4.6439	6.5999	5.7279	6.0000	4.0875	4.7004	5.2095	5.6147	3.7004	6.3576	5.0444
SYNTH0393	3.9069	4.5850	4.7004	4.4594	4.1699	2.3219	4.1699	4.7004	4.1699	4.1699	4.0000	3.4594	3.5850	3.5850	4.0000	4.0875	4.5850	4.1699	4.0000
SYNTH0394	7.7347	6.1898	6.5236	5.8329	7.3038	7.9773	8.4388	6.9069	6.9887	6.8826	7.1599	8.0980	7.1898	8.3038	7.3487	6.5236	7.6073	6.4757	8.5275
SYNTH0395	7.8642	7.3309	NA	7.4998	7.5236	7.1189	7.0000	8.1849	7.6366	6.7944	7.5157	6.7549	8.1497	7.0875	7.5546	6.9773	7.6221	8.8978	7.2384
SYNTH0396	6.5078	7.4512	8.1649	7.7004	7.3399	6.6439	7.5157	6.9307	7.4512	8.0553	8.0821	8.5546	7.7944	7.8517	7.5469	8.9248	8.1699	6.9658	8.5999
SYNTH0397	5.7279	4.5236	4.3219	5.7814	5.1293	5.4263	5.1293	5.1293	4.9542	6.0661	4.5236	5.3219	5.4594	6.2288	5.2854	4.5236	5.3923	5.9069	4.7549
SYNTH0398	4.7004	4.0000	5.1699	3.9069	4.3923	3.5850	2.8074	3.9069	5.0444	3.8074	4.7549	4.4594	5.0875	4.8580	4.8580	3.9069	4.3219	4.0000	2.8074
SYNTH0399	6.3923	6.5850	5.9773	5.8580	5.5850	6.7944	6.5999	5.9069	5.6724	5.3576	6.7944	5.9307	6.4757	5.3923	5.6147	5.9307	5.2095	4.9069	5.2854
SYNTH0400	8.5962	8.2527	7.1189	9.1163	9.0084	7.3576	8.6184	7.2854	8.0224	8.2046	8.0821	8.2095	8.1849	8.5078	9.2597	8.7415	7.9009	8.7482	7.8765
SYNTH0401	5.2095	5.2479	3.5850	3.5850	4.8074	4.3923	4.6439	3.3219	3.4594	3.8074	3.8074	3.7004	5.0000	3.0000	3.5850	4.7004	4.7549	3.0000	5.3576
SYNTH0402	4.3219	4.8074	6.0444	4.7004	5.2095	5.0000	6.2668	5.9773	4.8580	4.2479	5.4594	4.7004	5.2095	5.4263	5.1699	4.5850	5.2854	4.3219	4.9069
SYNTH0403	9.3815	8.9773	10.1712	9.2360	9.4450	10.5430	8.5584	10.4491	8.8517	8.2668	9.1421	8.3794	8.9129	9.2854	8.0000	8.7616	7.7211	8.6970	9.3531
SYNTH0404	7.9773	7.8704	7.1293	7.7814	6.7004	7.8455	6.9307	7.9129	8.0768	6.6147	6.5236	6.5392	6.8202	7.0444	7.1799	6.7814	7.4998	7.6221	7.8642
SYNTH0405	3.9069	4.2479	3.9069	4.0000	5.6724	5.2479	4.2479	3.5850	4.2479	3.5850	3.5850	2.8074	2.5850	3.5850	4.1699	2.5850	3.3219	3.1699	3.8074
SYNTH0406	8.5353	7.1699	7.5622	8.7039	NA	7.3129	8.1033	8.0768	8.4179	7.9248	7.7004	8.0607	8.7748	7.6935	7.3576	7.6511	8.1548	7.6294	7.3837
SYNTH0407	6.4263	7.6724	6.4594	6.5392	6.4263	6.9542	7.1497	5.6439	7.4429	7.2946	7.1898	6.8704	7.1599	6.7682	7.4998	7.1997	6.2668	6.5999	7.4263
SYNTH0408	6.3219	5.0875	6.4757	7.5699	5.5236	5.7814	6.4429	6.9773	6.2095	6.1497	6.4919	6.5699	6.3576	6.3923	6.2854	5.8329	6.9307	6.6865	5.9542
SYNTH0409	6.3219	7.0224	8.1997	7.5078	6.1085	7.2192	7.4009	7.4009	7.0661	7.2288	6.8329	7.2854	6.9773	7.7549	7.2095	6.4594	7.1189	7.0112	7.7748
SYNTH0410	5.8580	6.3750	6.7279	5.8826	6.4919	6.4757	7.2479	6.7004	6.4094	6.5850	6.6865	5.3923	6.8580	5.7814	6.0444	6.7142	6.8826	5.3576	6.5999
SYNTH0411	5.8074	6.2854	6.3750	6.6294	5.7814	6.2479	5.8826	5.1293	4.9069	5.4263	5.8329	6.6724	5.4594	6.8202	6.5236	5.8826	4.8580	6.1293	5.7549
SYNTH0412	8.8106	9.2715	9.1472	9.2808	9.5137	8.9278	8.4305	9.2360	8.8265	9.4635	8.3487	8.6330	8.2288	9.3597	8.1898	9.0307	9.9701	8.9513	9.0795
SYNTH0413	5.5850	6.2288	5.3576	6.0875	6.1898	6.8826	5.7549	6.6294	6.6147	6.3923	6.0875	6.5850	5.3219	6.4094	6.1898	6.5999	6.7944	6.3038	7.1085
SYNTH0414	7.7748	7.5850	5.7004	7.9773	7.4676	7.7482	7.9425	7.9542	6.9542	6.5850	6.4594	6.6147	7.6221	6.7814	7.2854	7.6294	7.6147	7.2479	7.1396
SYNTH0415	6.7279	5.5546	6.1497	6.7682	5.3576	6.5078	NA	6.0661	5.6439	5.7279	5.7549	6.3038	5.0875	6.5078	5.5546	5.5546	6.5699	5.7004	6.1085
SYNTH0416	7.8455	7.9773	7.0768	7.6582	6.9773	7.1898	7.9009	8.8611	7.9944	8.9099	8.2946	8.7549	8.5999	5.8074	8.7177	7.6653	8.3309	8.0980	6.9307
SYNTH0417	7.2192	6.8074	5.3219	6.3750	5.2854	5.7814	3.4594	7.0334	5.0444	5.9069	6.2095	7.6073	6.2668	6.0000	6.9773	6.4757	6.4594	7.2761	6.1898
SYNTH0418	6.1293	6.9069	6.4429	6.5392	6.5850	6.6147	6.1699	7.3576	5.8580	6.7279	7.2095	6.1497	6.5850	5.6724	7.0112	6.5546	7.8138	7.0875	6.4094
SYNTH0419	3.1699	3.7004	4.3219	4.0000	4.2479	4.5236	4.4594	3.7004	3.8074	4.2479	3.9069	4.0000	3.7004	4.7004	4.2479	4.0875	3.7004	3.8074	NA
SYNTH0420	3.1699	3.7004	3.8074	3.8074	4.3923	4.0875	3.4594	3.4594	3.7004	3.7004	3.8074	3.5850	3.1699	3.7004	3.3219	4.1699	3.5850	NA	4.0000
SYNTH0421	8.2192	8.3129	7.4512	5.9773	7.6724	7.2192	6.2288	7.7482	7.0112	6.8826	6.4757	7.4009	8.0980	6.7682	7.3129	7.7004	6.6724	6.8455	7.7279
SYNTH0422	6.1497	6.9658	6.0224	5.3923	5.2095	6.5699	5.1699	6.9773	4.7549	6.0224	7.2095	7.6294	7.6221	8.0661	8.3837	8.4676	7.5699	6.7415	8.0224
SYNTH0423	3.9069	3.0000	3.5850	4.2479	4.4594	3.4594	3.4594	4.1699	3.3219	4.4594	4.6439	4.3923	4.8580	4.9069	5.4919	4.7004	4.5236	4.5850	4.5236
SYNTH0424	9.0389	8.5507	8.8009	8.0821	8.3837	9.1215	8.2095	8.1649	7.7415	8.2527	8.2992	8.0334	7.9715	7.4179	8.8704	8.2761	8.8329	7.7347	8.8918
SYNTH0425	5.5236	4.5236	4.1699	5.2854	5.5546	4.0000	3.9069	4.2479	4.2479	3.3219	4.5236	4.8580	4.6439	4.8074	5.6147	4.6439	5.2854	3.1699	4.3923
SYNTH0426	2.0000	4.2479	3.7004	3.3219	3.4594	3.8074	3.0000	4.0875	2.3219	4.3923	3.4594	4.1699	4.4594	4.0875	3.5850	3.0000	5.0875	4.0000	3.9069
SYNTH0427	8.3354	7.8455	7.9009	8.4388	8.6795	9.2854	7.6795	7.8265	7.8765	7.6582	7.6795	8.5887	6.9307	8.4878	8.2668	9.1997	8.3354	7.5392	8.1241
SYNTH0428	7.7944	7.6366	NA	8.0875	6.6147	7.9715	6.8580	7.4998	7.2668	7.1396	7.0875	6.3576	5.7004	8.1396	6.6439	7.4094	7.4094	8.0279	6.9069
SYNTH0429	7.3309	7.6439	7.3663	5.0000	6.6724	6.3219	7.1997	7.6511	6.0224	6.6724	5.5236	7.0224	6.7415	5.7814	7.0000	7.1799	7.3576	7.5469	7.8455
SYNTH0430	5.6439	4.3219	4.9542	4.5236	4.4594	5.0444	4.8580	4.0000	5.7549	4.7549	4.6439	5.2854	4.9069	3.5850	4.7004	4.5850	5.2479	4.9069	5.0875
SYNTH0431	5.5850	4.7004	3.8074	4.2479	4.6439	3.7004	4.5850	4.0875	3.1699	4.0000	4.5850	5.9307	4.7549	5.8826	4.3923	5.4594	5.3576	5.7814	4.9069
SYNTH0432	7.9658	8.6865	7.8455	6.6724	6.9069	5.8826	7.6147	5.4919	7.4009	7.4429	9.2691	7.7682	8.1849	7.4838	8.7448	9.0526	9.2240	8.1898	8.8074
SYNTH0433	4.5850	4.2479	4.0875	4.0875	4.8580	4.8580	4.3923	4.1699	5.2479	4.3923	6.1085	5.8329	4.9069	5.2479	5.7549	3.9069	5.7814	6.3219	5.8074
SYNTH0434	4.5236	6.6724	5.4263	5.4263	5.4263	5.9773	6.3576	7.0000	6.0444	5.9069	4.9542	5.5850	6.1293	3.9069	5.9773	5.9773	6.1293	5.4594	5.3576
SYNTH0435	2.0000	3.1699	3.3219	2.3219	3.8074	3.0000	3.3219	3.1699	3.7004	3.0000	3.3219	2.5850	3.5850	3.5850	3.0000	4.3923	3.5850	0.0000	4.0875
SYNTH0436	6.0000	6.3576	5.4263	5.8329	4.5236	5.2479	5.9069	5.5236	6.2479	5.8074	5.6147	5.5236	6.0875	6.3576	6.4263	6.2479	6.1497	4.6439	6.0224
